operator_id,name,shift,certifications,status
OP-A,Operator A,Night,PROD-A:M05,OFF_SHIFT
OP-B,Operator B,Day,PROD-B:M02;PROD-C:M10,ON_SHIFT
OP-C,Operator C (Priya Nair),Day,PROD-B:M07;PROD-A:M07,ON_SHIFT
OP-D,Operator D,Night,PROD-A:M09;PROD-D:M06,ON_SHIFT
OP-E,Operator E,Night,PROD-D:M02;PROD-D:M06,ON_SHIFT
OP-F,Operator F,Night,PROD-B:M09;PROD-C:M10,OFF_SHIFT
OP-G,Operator G,Night,PROD-B:M02;PROD-C:M06,OFF_SHIFT
OP-H,Operator H,Night,PROD-D:M10,OFF_SHIFT
OP-I,Operator I,Day,PROD-D:M06,OFF_SHIFT
OP-J,Operator J,Night,PROD-C:M05,OFF_SHIFT
OP-K,Operator K,Day,PROD-A:M09;PROD-B:M02;PROD-C:M09,OFF_SHIFT
OP-L,Operator L,Day,PROD-B:M08;PROD-D:M08,ON_SHIFT
OP-M,Operator M,Night,PROD-B:M05;PROD-B:M07,OFF_SHIFT
OP-N,Operator N,Night,PROD-C:M06;PROD-C:M07;PROD-D:M05,OFF_SHIFT
